subsub-1793622,ses2,	sub0021006,ses2,	subsub-8735778,ses1,	subsub-2475376,ses1,	subsub-2799329,ses1,	sub0021006,ses1,	subsub-1793622,ses1,	subsub-8735778,ses2,	subsub-2475376,ses2,	subsub-2799329,ses2,	subsub-7055197,ses1,	sub0021002,ses1,	sub0021024,ses2,	subsub-9630905,ses1,	subsub-7055197,ses2,	sub0021024,ses1,	sub0021002,ses2,	subsub-9630905,ses2,	sub3795193,ses2,	subsub-2842950,ses1,	sub3201815,ses2,	sub4288245,ses1,	sub3795193,ses1,	subsub-2842950,ses2,	sub3201815,ses1,	sub4288245,ses2,	sub0021001,ses1,	sub3313349,ses2,	subsub-1961098,ses2,	sub0021018,ses1,	sub4176156,ses2,	sub3808535,ses2,	subsub-3315657,ses2,	sub3313349,ses1,	sub0021001,ses2,	subsub-1961098,ses1,	sub0021018,ses2,	sub4176156,ses1,	sub3808535,ses1,	subsub-3315657,ses1,	subsub-3808535,ses2,	sub3315657,ses2,	subsub-4176156,ses2,	subsub-0021018,ses1,	sub1961098,ses2,	subsub-0021001,ses1,	subsub-3313349,ses2,	subsub-3808535,ses1,	sub3315657,ses1,	subsub-4176156,ses1,	subsub-0021018,ses2,	sub1961098,ses1,	subsub-3313349,ses1,	subsub-0021001,ses2,	subsub-4288245,ses1,	subsub-3201815,ses2,	sub2842950,ses1,	subsub-3795193,ses2,	subsub-4288245,ses2,	subsub-3201815,ses1,	sub2842950,ses2,	subsub-3795193,ses1,	sub9630905,ses1,	subsub-0021002,ses1,	subsub-0021024,ses2,	sub7055197,ses1,	sub9630905,ses2,	subsub-0021024,ses1,	subsub-0021002,ses2,	sub7055197,ses2,	sub2799329,ses1,	sub2475376,ses1,	sub1793622,ses2,	subsub-0021006,ses2,	sub8735778,ses1,	sub2799329,ses2,	sub2475376,ses2,	subsub-0021006,ses1,	sub1793622,ses1,	sub8735778,ses2,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
48,2,	61,1,	57,1,	56,1,	51,1,	57,1,	49,1,	54,1,	58,1,	49,1,	54,1,	50,1,	48,1,	55,1,	52,1,	48,1,	51,1,	56,1,	51,1,	57,1,	56,1,	53,1,	50,1,	59,1,	54,1,	56,1,	59,1,	54,1,	53,1,	54,2,	52,1,	58,1,	53,1,	54,1,	52,2,	50,2,	54,1,	50,1,	54,1,	54,1,	58,1,	53,1,	52,1,	54,2,	53,1,	59,1,	54,1,	54,1,	54,1,	50,1,	54,1,	50,2,	54,1,	52,2,	53,1,	56,1,	57,1,	51,1,	56,1,	54,1,	59,1,	50,1,	55,1,	50,1,	48,1,	54,1,	56,1,	48,1,	51,1,	52,1,	51,1,	56,1,	48,2,	61,1,	57,1,	49,1,	58,1,	57,1,	49,1,	54,1,
47,1,	54,1,	52,1,	51,1,	48,1,	49,1,	48,1,	52,1,	47,2,	47,1,	53,1,	48,1,	46,1,	50,1,	51,1,	47,1,	50,1,	49,1,	49,1,	54,1,	55,1,	52,1,	48,1,	58,1,	50,1,	51,1,	57,1,	50,1,	51,1,	48,1,	51,1,	57,1,	50,1,	49,1,	51,1,	44,4,	53,1,	49,1,	48,1,	52,1,	57,1,	50,1,	51,1,	48,1,	51,1,	57,1,	50,1,	48,1,	52,1,	49,1,	53,1,	44,4,	49,1,	51,1,	52,1,	55,1,	54,1,	49,1,	51,1,	50,1,	58,1,	48,1,	50,1,	48,1,	46,1,	53,1,	49,1,	47,1,	50,1,	51,1,	48,1,	51,1,	47,1,	54,1,	52,1,	47,1,	47,2,	49,1,	48,1,	52,1,
45,1,	52,1,	48,1,	45,2,	47,1,	48,1,	46,1,	45,2,	44,2,	42,1,	45,1,	47,2,	43,1,	45,1,	46,1,	43,1,	49,1,	46,1,	46,1,	52,2,	52,1,	48,1,	45,1,	55,1,	47,1,	49,1,	53,1,	48,1,	45,1,	47,1,	46,1,	50,1,	42,1,	47,1,	46,1,	41,2,	48,1,	41,1,	47,1,	49,1,	50,1,	42,1,	46,1,	47,1,	45,1,	53,1,	48,1,	47,1,	49,1,	41,1,	48,1,	41,2,	47,1,	46,1,	48,1,	52,1,	52,2,	46,1,	49,1,	47,1,	55,1,	45,1,	45,1,	47,2,	43,1,	45,1,	46,1,	43,1,	49,1,	46,1,	47,1,	45,2,	45,1,	52,1,	48,1,	42,1,	44,2,	48,1,	46,1,	45,2,
43,1,	51,1,	45,1,	43,1,	46,1,	47,1,	44,1,	42,1,	42,1,	41,2,	44,3,	45,1,	42,1,	42,1,	45,1,	42,1,	46,1,	44,1,	44,1,	51,1,	51,1,	46,2,	42,1,	54,1,	46,1,	48,1,	51,1,	47,2,	43,1,	46,3,	41,1,	49,1,	39,1,	46,1,	44,1,	40,2,	44,2,	40,1,	39,2,	45,1,	49,1,	39,1,	41,1,	46,3,	43,1,	51,1,	47,2,	39,2,	45,1,	40,1,	44,2,	40,2,	46,1,	44,1,	46,2,	51,1,	51,1,	44,1,	48,1,	46,1,	54,1,	42,1,	42,1,	45,1,	42,1,	44,3,	44,1,	42,1,	46,1,	45,1,	46,1,	43,1,	43,1,	51,1,	45,1,	41,2,	42,1,	47,1,	44,1,	42,1,
38,2,	48,1,	43,2,	42,1,	43,1,	46,1,	43,1,	41,2,	40,2,	40,1,	43,2,	42,1,	39,1,	41,2,	42,1,	41,1,	44,1,	43,4,	42,2,	48,1,	50,1,	45,1,	38,1,	53,1,	45,1,	45,1,	48,2,	43,2,	42,2,	43,3,	40,1,	46,1,	38,1,	43,1,	41,1,	39,2,	43,1,	39,1,	38,2,	44,1,	46,1,	38,1,	40,1,	43,3,	42,2,	48,2,	43,2,	38,2,	44,1,	39,1,	43,1,	39,2,	43,1,	41,1,	45,1,	50,1,	48,1,	42,2,	45,1,	45,1,	53,1,	38,1,	41,2,	42,1,	39,1,	43,2,	43,4,	41,1,	44,1,	42,1,	43,1,	42,1,	38,2,	48,1,	43,2,	40,1,	40,2,	46,1,	43,1,	41,2,
36,1,	47,1,	41,1,	39,1,	42,2,	43,2,	42,1,	38,3,	38,1,	39,1,	41,1,	41,1,	36,1,	40,1,	41,2,	38,1,	42,1,	42,1,	39,2,	47,3,	47,1,	40,2,	37,1,	49,1,	44,1,	44,1,	46,1,	41,2,	40,1,	40,1,	37,1,	45,2,	37,2,	42,1,	40,1,	38,1,	42,1,	35,1,	34,1,	38,1,	45,2,	37,2,	37,1,	40,1,	40,1,	46,1,	41,2,	34,1,	38,1,	35,1,	42,1,	38,1,	42,1,	40,1,	40,2,	47,1,	47,3,	39,2,	44,1,	44,1,	49,1,	37,1,	40,1,	41,1,	36,1,	41,1,	42,1,	38,1,	42,1,	41,2,	42,2,	39,1,	36,1,	47,1,	41,1,	39,1,	38,1,	43,2,	42,1,	38,3,
35,1,	46,2,	40,2,	38,3,	40,1,	41,1,	41,2,	37,2,	37,2,	38,2,	40,1,	38,2,	35,2,	38,3,	39,3,	35,1,	41,1,	41,1,	38,1,	46,1,	44,1,	39,1,	36,1,	45,2,	42,1,	43,1,	44,2,	40,1,	39,1,	38,1,	35,1,	44,1,	35,1,	41,3,	39,2,	37,1,	40,1,	33,2,	33,1,	37,2,	44,1,	35,1,	35,1,	38,1,	39,1,	44,2,	40,1,	33,1,	37,2,	33,2,	40,1,	37,1,	41,3,	39,2,	39,1,	44,1,	46,1,	38,1,	43,1,	42,1,	45,2,	36,1,	38,3,	38,2,	35,2,	40,1,	41,1,	35,1,	41,1,	39,3,	40,1,	38,3,	35,1,	46,2,	40,2,	38,2,	37,2,	41,1,	41,2,	37,2,
33,2,	45,1,	39,2,	37,2,	39,1,	40,1,	39,1,	36,2,	36,1,	37,1,	39,1,	34,2,	34,1,	37,1,	38,1,	33,2,	39,1,	39,1,	35,1,	44,1,	43,2,	36,1,	34,1,	43,2,	40,3,	42,1,	43,3,	38,1,	38,3,	37,1,	34,2,	42,1,	34,1,	40,2,	36,2,	34,1,	39,1,	31,1,	31,2,	36,1,	42,1,	34,1,	34,2,	37,1,	38,3,	43,3,	38,1,	31,2,	36,1,	31,1,	39,1,	34,1,	40,2,	36,2,	36,1,	43,2,	44,1,	35,1,	42,1,	40,3,	43,2,	34,1,	37,1,	34,2,	34,1,	39,1,	39,1,	33,2,	39,1,	38,1,	39,1,	37,2,	33,2,	45,1,	39,2,	37,1,	36,1,	40,1,	39,1,	36,2,
32,1,	40,2,	38,1,	36,1,	38,1,	38,2,	36,2,	35,2,	35,3,	35,2,	38,2,	32,1,	33,2,	36,1,	37,1,	32,2,	36,1,	38,1,	34,1,	43,2,	42,1,	34,1,	33,3,	41,1,	38,1,	41,1,	42,2,	37,1,	37,1,	35,1,	33,2,	41,1,	33,3,	39,1,	35,1,	33,1,	37,2,	30,1,	30,1,	34,2,	41,1,	33,3,	33,2,	35,1,	37,1,	42,2,	37,1,	30,1,	34,2,	30,1,	37,2,	33,1,	39,1,	35,1,	34,1,	42,1,	43,2,	34,1,	41,1,	38,1,	41,1,	33,3,	36,1,	32,1,	33,2,	38,2,	38,1,	32,2,	36,1,	37,1,	38,1,	36,1,	32,1,	40,2,	38,1,	35,2,	35,3,	38,2,	36,2,	35,2,
