subsub-1793622,ses2,	subsub-8735778,ses1,	sub0021001,ses1,	sub3313349,ses2,	subsub-2842950,ses1,	sub3808535,ses2,	subsub-2475376,ses1,	sub0021018,ses1,	subsub-2799329,ses1,	sub4176156,ses2,	subsub-1793622,ses1,	subsub-8735778,ses2,	sub3313349,ses1,	sub0021001,ses2,	sub3808535,ses1,	subsub-2842950,ses2,	subsub-2475376,ses2,	sub0021018,ses2,	subsub-2799329,ses2,	sub4176156,ses1,	sub3795193,ses2,	subsub-3315657,ses2,	subsub-7055197,ses1,	sub4288245,ses1,	subsub-1961098,ses2,	sub3201815,ses2,	subsub-9630905,ses1,	sub3795193,ses1,	subsub-3315657,ses1,	subsub-7055197,ses2,	sub4288245,ses2,	subsub-1961098,ses1,	sub3201815,ses1,	subsub-9630905,ses2,	subsub-2799329,ses1,	subsub-2475376,ses1,	subsub-2842950,ses1,	subsub-1793622,ses2,	subsub-8735778,ses1,	sub0021002,ses1,	sub0021024,ses2,	subsub-2799329,ses2,	subsub-2475376,ses2,	subsub-2842950,ses2,	subsub-1793622,ses1,	sub0021024,ses1,	sub0021002,ses2,	subsub-8735778,ses2,	subsub-1961098,ses2,	subsub-9630905,ses1,	sub0021006,ses2,	subsub-7055197,ses1,	subsub-3315657,ses2,	subsub-1961098,ses1,	subsub-9630905,ses2,	sub0021006,ses1,	subsub-7055197,ses2,	subsub-3315657,ses1,	sub2475376,ses1,	subsub-3808535,ses2,	subsub-4176156,ses2,	sub2799329,ses1,	subsub-0021018,ses1,	subsub-0021024,ses2,	subsub-0021002,ses1,	sub8735778,ses1,	sub1793622,ses2,	subsub-0021001,ses1,	subsub-3313349,ses2,	sub2475376,ses2,	subsub-3808535,ses1,	subsub-4176156,ses1,	sub2799329,ses2,	subsub-0021018,ses2,	sub8735778,ses2,	subsub-0021002,ses2,	subsub-0021024,ses1,	sub1793622,ses1,	subsub-3313349,ses1,	subsub-0021001,ses2,	subsub-0021006,ses2,	subsub-4288245,ses1,	sub9630905,ses1,	subsub-3201815,ses2,	subsub-3795193,ses2,	sub7055197,ses1,	subsub-0021006,ses1,	subsub-4288245,ses2,	sub9630905,ses2,	subsub-3201815,ses1,	subsub-3795193,ses1,	sub7055197,ses2,	subsub-3313349,ses2,	subsub-0021001,ses1,	subsub-0021002,ses1,	subsub-0021024,ses2,	subsub-0021018,ses1,	subsub-4176156,ses2,	subsub-3808535,ses2,	sub2842950,ses1,	subsub-0021001,ses2,	subsub-3313349,ses1,	subsub-0021024,ses1,	subsub-0021002,ses2,	subsub-0021018,ses2,	subsub-4176156,ses1,	sub2842950,ses2,	subsub-3808535,ses1,	subsub-3795193,ses2,	sub3315657,ses2,	subsub-3201815,ses2,	sub1961098,ses2,	subsub-4288245,ses1,	subsub-0021006,ses2,	subsub-3795193,ses1,	sub3315657,ses1,	subsub-3201815,ses1,	sub1961098,ses1,	subsub-4288245,ses2,	subsub-0021006,ses1,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
48,2,	57,1,	50,2,	45,1,	48,1,	45,1,	56,1,	47,1,	51,1,	45,1,	49,1,	54,1,	44,1,	48,1,	40,1,	51,1,	58,1,	44,1,	49,1,	44,1,	45,1,	40,1,	54,1,	43,1,	46,1,	45,1,	55,1,	43,1,	42,1,	52,1,	43,1,	46,1,	41,1,	56,1,	43,1,	42,1,	57,1,	41,1,	46,1,	41,1,	39,1,	43,1,	48,1,	59,1,	42,1,	37,2,	41,1,	46,1,	53,1,	41,1,	43,1,	45,1,	53,1,	50,2,	46,1,	45,1,	45,1,	54,1,	42,1,	58,1,	52,1,	43,1,	54,2,	39,1,	41,1,	46,1,	41,1,	59,1,	54,1,	48,1,	54,1,	50,1,	43,1,	54,1,	46,1,	41,1,	37,2,	42,1,	54,1,	52,2,	43,1,	53,1,	41,1,	56,1,	51,1,	45,1,	45,1,	56,1,	46,1,	54,1,	50,1,	45,1,	45,1,	50,2,	50,1,	48,1,	47,1,	45,1,	45,1,	48,1,	48,1,	44,1,	48,1,	51,1,	44,1,	44,1,	51,1,	40,1,	45,1,	40,1,	45,1,	46,1,	43,1,	61,1,	43,1,	42,1,	41,1,	46,1,	43,1,	57,1,
47,1,	52,1,	45,1,	43,1,	42,1,	44,1,	51,1,	45,1,	48,1,	41,1,	48,1,	52,1,	42,1,	41,1,	39,1,	47,1,	47,2,	43,1,	47,1,	39,1,	42,1,	38,1,	53,1,	39,1,	41,1,	41,1,	50,1,	41,1,	40,1,	51,1,	39,1,	43,1,	40,1,	49,1,	41,1,	41,1,	54,1,	38,1,	45,1,	38,1,	37,1,	39,1,	41,1,	58,1,	40,1,	32,1,	38,1,	44,1,	51,1,	40,1,	42,1,	44,1,	50,1,	44,4,	43,1,	42,1,	39,1,	52,1,	41,1,	57,1,	51,1,	41,1,	48,1,	37,1,	38,1,	45,1,	38,1,	57,1,	50,1,	41,1,	48,1,	49,1,	39,1,	53,1,	44,1,	38,1,	32,1,	40,1,	49,1,	51,1,	42,1,	52,1,	40,1,	55,1,	49,1,	44,1,	42,1,	51,1,	43,1,	50,1,	48,1,	39,1,	43,1,	45,1,	48,1,	46,1,	45,1,	41,1,	44,1,	42,1,	41,1,	42,1,	47,1,	50,1,	43,1,	39,1,	47,1,	39,1,	42,1,	38,1,	41,1,	41,1,	39,1,	54,1,	41,1,	40,1,	40,1,	43,1,	39,1,	49,1,
45,1,	48,1,	39,1,	38,1,	41,1,	37,1,	45,2,	38,1,	47,1,	33,1,	46,1,	45,2,	38,1,	35,1,	31,1,	42,1,	44,2,	34,1,	42,1,	33,1,	35,1,	34,1,	45,1,	33,2,	33,4,	38,1,	45,1,	30,1,	34,1,	46,1,	34,1,	35,1,	33,2,	46,1,	33,2,	36,1,	52,2,	34,1,	39,2,	36,1,	34,1,	31,1,	35,2,	55,1,	37,2,	30,1,	36,1,	38,1,	45,1,	33,1,	38,1,	35,1,	42,1,	41,2,	36,1,	39,1,	33,1,	49,1,	36,1,	50,1,	46,1,	33,2,	47,1,	34,1,	36,1,	39,2,	34,1,	53,1,	48,1,	35,2,	47,1,	41,1,	31,1,	48,1,	38,1,	36,1,	30,1,	37,2,	47,1,	46,1,	38,1,	48,1,	33,1,	52,1,	46,1,	35,1,	39,1,	49,1,	36,1,	47,1,	45,1,	33,1,	38,1,	39,1,	47,2,	43,1,	38,1,	33,1,	37,1,	41,1,	35,1,	38,1,	43,1,	49,1,	34,1,	33,1,	42,1,	31,1,	35,1,	34,1,	38,1,	33,4,	33,2,	52,1,	30,1,	34,1,	33,2,	35,1,	34,1,	48,1,
43,1,	45,1,	35,3,	35,1,	39,1,	34,1,	43,1,	33,1,	46,1,	31,1,	44,1,	42,1,	35,1,	33,2,	30,1,	41,1,	42,1,	31,1,	41,2,	29,1,	31,2,	30,1,	44,3,	32,1,	32,1,	37,1,	42,1,	29,1,	32,1,	45,1,	32,3,	33,2,	32,1,	44,1,	30,2,	33,2,	51,1,	32,1,	33,1,	29,2,	32,1,	30,1,	34,1,	54,1,	32,1,	28,2,	30,2,	35,1,	43,1,	31,1,	35,2,	33,1,	39,1,	40,2,	33,1,	35,1,	32,1,	45,1,	33,2,	49,1,	41,1,	30,2,	46,3,	32,1,	29,2,	33,1,	32,1,	51,1,	47,2,	34,1,	39,2,	40,1,	30,1,	44,2,	35,1,	30,2,	28,2,	32,1,	46,1,	44,1,	35,2,	46,2,	31,1,	51,1,	44,1,	33,1,	35,1,	48,1,	33,1,	46,1,	42,1,	32,1,	35,1,	35,3,	45,1,	42,1,	33,1,	31,1,	34,1,	39,1,	33,2,	35,1,	42,1,	46,1,	31,1,	29,1,	41,1,	30,1,	31,2,	30,1,	37,1,	32,1,	32,1,	51,1,	29,1,	32,1,	32,1,	33,2,	32,3,	47,1,
38,2,	43,2,	34,1,	33,1,	38,1,	30,1,	42,1,	32,1,	43,1,	28,1,	43,1,	41,2,	34,1,	29,1,	26,1,	36,1,	40,2,	30,2,	40,1,	28,1,	29,1,	28,1,	43,2,	31,2,	29,2,	36,2,	41,2,	28,1,	28,2,	42,1,	30,1,	32,2,	29,3,	43,4,	28,2,	32,1,	48,1,	29,2,	31,1,	28,1,	29,1,	29,1,	32,1,	53,1,	29,1,	24,1,	29,1,	31,1,	42,2,	30,2,	34,1,	31,1,	38,1,	39,2,	32,1,	32,1,	31,1,	44,1,	32,1,	46,1,	40,1,	28,2,	43,3,	29,1,	28,1,	31,1,	29,2,	48,2,	43,2,	32,1,	38,2,	39,1,	29,1,	43,1,	31,1,	29,1,	24,1,	29,1,	43,1,	41,1,	34,1,	45,1,	30,2,	50,1,	42,2,	31,1,	32,1,	45,1,	32,1,	45,1,	38,1,	31,1,	33,1,	34,1,	42,1,	39,1,	32,1,	28,1,	30,1,	38,1,	29,1,	34,1,	41,1,	44,1,	30,2,	28,1,	36,1,	26,1,	29,1,	28,1,	36,2,	29,2,	31,2,	48,1,	28,1,	28,2,	29,3,	32,2,	30,1,	46,1,
36,1,	41,1,	32,1,	32,1,	34,3,	28,2,	39,1,	31,1,	42,2,	26,1,	42,1,	38,3,	31,2,	27,2,	25,1,	34,1,	38,1,	29,2,	39,1,	26,2,	28,1,	27,1,	41,1,	29,1,	28,1,	33,2,	40,1,	26,1,	27,2,	41,2,	29,1,	29,1,	27,2,	42,1,	27,2,	31,1,	47,3,	26,3,	28,1,	27,1,	28,1,	28,1,	30,2,	49,1,	28,1,	23,3,	28,1,	28,1,	40,1,	28,1,	30,3,	30,1,	37,2,	38,1,	31,1,	30,1,	30,1,	38,1,	31,1,	45,2,	37,1,	27,2,	40,1,	28,1,	27,1,	28,1,	26,3,	46,1,	41,2,	30,2,	34,1,	35,1,	28,1,	42,1,	28,1,	28,1,	23,3,	28,1,	42,1,	40,1,	30,3,	40,2,	28,1,	47,1,	39,2,	30,1,	30,1,	44,1,	31,1,	44,1,	37,1,	30,1,	32,1,	32,1,	41,1,	36,1,	31,1,	26,1,	28,2,	34,3,	27,2,	31,2,	38,1,	42,1,	29,2,	26,2,	34,1,	25,1,	28,1,	27,1,	33,2,	28,1,	29,1,	47,1,	26,1,	27,2,	27,2,	29,1,	29,1,	43,2,
35,1,	40,2,	31,3,	31,2,	32,3,	26,2,	38,3,	30,1,	40,1,	24,3,	41,2,	37,2,	30,1,	26,1,	24,1,	32,1,	37,2,	28,1,	38,2,	24,1,	26,3,	26,1,	40,1,	28,1,	27,1,	32,1,	38,3,	25,1,	26,1,	39,3,	28,1,	28,1,	26,1,	41,1,	26,1,	28,1,	46,1,	24,1,	27,3,	26,1,	26,1,	27,2,	26,3,	45,2,	27,1,	22,2,	27,1,	27,1,	39,1,	27,1,	29,3,	29,1,	35,1,	37,1,	29,1,	29,1,	29,1,	37,2,	28,1,	44,1,	35,1,	26,1,	38,1,	26,1,	26,1,	27,3,	24,1,	44,2,	40,1,	26,3,	33,1,	33,2,	27,2,	40,1,	27,1,	27,1,	22,2,	27,1,	41,3,	39,2,	29,3,	39,1,	27,1,	44,1,	38,1,	29,1,	29,1,	43,1,	29,1,	42,1,	36,1,	29,1,	31,2,	31,3,	38,2,	35,2,	30,1,	24,3,	26,2,	32,3,	26,1,	30,1,	35,1,	41,1,	28,1,	24,1,	32,1,	24,1,	26,3,	26,1,	32,1,	27,1,	28,1,	46,2,	25,1,	26,1,	26,1,	28,1,	28,1,	41,1,
33,2,	39,2,	30,4,	30,1,	31,1,	25,2,	37,2,	29,1,	39,1,	22,1,	39,1,	36,2,	29,2,	25,2,	21,3,	31,4,	36,1,	23,2,	37,1,	22,1,	24,3,	23,3,	39,1,	27,1,	26,1,	28,3,	37,1,	24,1,	23,2,	38,1,	27,1,	26,4,	25,1,	39,1,	25,1,	27,2,	44,1,	22,2,	26,1,	25,2,	25,2,	26,2,	24,4,	43,2,	25,2,	21,1,	26,1,	26,1,	38,3,	25,3,	28,2,	28,3,	34,1,	34,1,	27,3,	28,2,	28,2,	36,1,	27,2,	42,1,	34,2,	25,1,	37,1,	25,2,	25,2,	26,1,	22,2,	43,3,	38,1,	24,4,	31,2,	31,1,	26,2,	39,1,	26,1,	26,1,	21,1,	25,2,	40,2,	36,2,	28,2,	36,1,	25,3,	43,2,	35,1,	28,3,	28,2,	42,1,	27,3,	40,3,	34,1,	28,2,	30,1,	30,4,	34,2,	34,1,	29,1,	22,1,	25,2,	31,1,	25,2,	29,2,	33,2,	39,1,	23,2,	22,1,	31,4,	21,3,	24,3,	23,3,	28,3,	26,1,	27,1,	45,1,	24,1,	23,2,	25,1,	26,4,	27,1,	40,1,
