subsub-2842950,ses1,	subsub-2842950,ses2,	subsub-3315657,ses2,	subsub-1961098,ses2,	subsub-3315657,ses1,	subsub-1961098,ses1,	subsub-2799329,ses1,	subsub-2475376,ses1,	subsub-8735778,ses1,	subsub-1793622,ses2,	subsub-2799329,ses2,	subsub-2475376,ses2,	subsub-8735778,ses2,	subsub-1793622,ses1,	subsub-9630905,ses1,	subsub-7055197,ses1,	subsub-9630905,ses2,	subsub-7055197,ses2,	subsub-0021024,ses2,	subsub-0021002,ses1,	subsub-0021002,ses2,	subsub-0021024,ses1,	subsub-0021006,ses2,	subsub-0021006,ses1,	subsub-3313349,ses2,	subsub-0021001,ses1,	subsub-4176156,ses2,	subsub-0021018,ses1,	subsub-3808535,ses2,	subsub-0021001,ses2,	subsub-3313349,ses1,	subsub-4176156,ses1,	subsub-0021018,ses2,	subsub-3808535,ses1,	subsub-3795193,ses2,	subsub-3201815,ses2,	subsub-4288245,ses1,	subsub-3795193,ses1,	subsub-3201815,ses1,	subsub-4288245,ses2,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
34,1,	34,1,	33,1,	36,1,	32,2,	39,1,	34,2,	39,1,	35,1,	32,1,	35,1,	38,1,	37,1,	35,1,	36,1,	38,1,	37,1,	35,2,	33,2,	33,1,	35,1,	33,1,	35,1,	34,1,	41,1,	37,1,	35,1,	40,1,	31,1,	35,1,	38,1,	35,1,	41,1,	30,1,	36,1,	34,1,	37,1,	36,1,	33,1,	35,1,
31,1,	30,1,	31,1,	33,1,	24,1,	37,1,	27,1,	33,1,	32,1,	31,1,	33,1,	34,1,	30,1,	34,1,	27,1,	34,1,	30,1,	21,4,	27,1,	32,1,	33,1,	32,1,	32,1,	33,1,	37,1,	34,1,	34,1,	38,1,	29,1,	30,1,	36,1,	32,1,	38,1,	28,1,	34,1,	33,1,	33,1,	33,1,	31,1,	33,1,
22,2,	23,2,	26,2,	30,1,	22,1,	30,1,	24,2,	27,1,	25,1,	23,1,	28,1,	25,1,	25,3,	22,4,	25,1,	23,4,	29,1,	20,1,	22,2,	27,1,	27,1,	23,1,	26,1,	25,1,	31,1,	31,1,	22,3,	27,2,	20,1,	23,1,	30,1,	22,1,	27,1,	19,1,	30,1,	25,2,	27,1,	22,2,	23,2,	28,1,
20,2,	22,1,	24,1,	28,1,	21,1,	28,1,	23,2,	25,1,	24,1,	20,3,	24,1,	24,2,	22,1,	20,3,	24,1,	21,2,	28,1,	19,5,	20,3,	22,1,	23,1,	22,1,	24,1,	24,1,	29,1,	23,2,	21,1,	24,2,	18,1,	21,1,	28,1,	19,1,	26,2,	17,2,	29,1,	24,2,	26,1,	21,1,	22,3,	26,1,
19,4,	20,1,	23,1,	26,2,	20,1,	27,2,	22,1,	23,1,	20,2,	19,1,	23,1,	23,1,	21,1,	19,2,	23,1,	20,3,	24,1,	18,2,	19,1,	21,1,	21,1,	21,1,	23,2,	23,1,	28,1,	21,1,	19,2,	23,1,	16,4,	20,1,	27,1,	18,1,	25,3,	16,1,	24,2,	23,1,	25,1,	20,1,	21,1,	23,2,
18,1,	19,1,	21,2,	25,2,	19,2,	26,1,	21,3,	22,2,	18,1,	18,2,	22,2,	22,2,	19,2,	15,1,	21,2,	19,1,	23,1,	17,1,	17,1,	20,3,	20,2,	20,3,	22,1,	22,2,	27,2,	19,5,	17,2,	22,1,	15,1,	19,1,	25,2,	17,1,	24,1,	15,3,	23,3,	22,3,	23,1,	19,1,	20,2,	22,3,
17,1,	18,1,	20,1,	23,1,	18,2,	23,1,	18,2,	19,2,	17,5,	16,1,	21,2,	21,2,	18,3,	13,2,	20,1,	17,2,	21,1,	16,3,	16,3,	19,1,	19,2,	18,1,	21,1,	21,1,	26,2,	18,3,	16,1,	21,1,	14,2,	17,2,	24,3,	16,2,	21,1,	14,5,	22,1,	20,3,	22,1,	18,1,	19,3,	21,2,
16,1,	17,3,	19,1,	22,1,	17,2,	22,2,	17,3,	18,2,	16,3,	15,1,	19,3,	19,1,	17,3,	12,4,	19,1,	15,3,	20,2,	15,1,	15,3,	17,1,	18,1,	17,1,	20,5,	20,2,	24,2,	17,2,	15,2,	20,4,	13,3,	16,3,	22,2,	15,2,	19,2,	13,1,	21,1,	18,1,	21,4,	17,1,	18,1,	19,1,
15,3,	16,2,	18,1,	21,2,	16,2,	21,1,	16,3,	17,1,	15,2,	14,1,	18,2,	18,2,	16,2,	11,6,	18,1,	14,3,	19,2,	14,1,	13,6,	16,3,	16,3,	16,2,	19,1,	19,4,	23,1,	16,1,	14,3,	19,4,	12,3,	15,4,	21,1,	14,3,	18,2,	12,3,	20,1,	17,1,	20,1,	16,1,	16,2,	18,3,
13,2,	15,2,	17,1,	20,2,	15,2,	20,1,	15,2,	16,2,	14,4,	13,1,	17,1,	17,1,	15,2,	10,4,	17,2,	13,4,	18,1,	13,2,	12,2,	15,1,	15,2,	15,4,	18,2,	17,1,	22,1,	15,6,	13,2,	18,3,	11,3,	14,4,	20,1,	13,2,	17,6,	11,4,	19,1,	16,3,	18,1,	15,4,	15,4,	17,2,
12,3,	13,3,	16,2,	18,1,	13,4,	19,5,	14,2,	15,1,	12,5,	12,1,	16,2,	15,3,	14,2,	9,5,	16,3,	12,4,	17,2,	12,3,	11,8,	14,3,	14,2,	14,1,	15,1,	16,2,	21,2,	14,1,	12,2,	17,1,	10,7,	13,4,	18,3,	12,3,	16,2,	10,6,	18,2,	15,2,	17,4,	14,2,	14,2,	15,4,
11,5,	12,1,	15,2,	17,3,	12,3,	18,1,	13,4,	14,4,	11,1,	11,5,	15,6,	14,3,	13,3,	8,10,	15,2,	11,3,	16,1,	11,1,	10,2,	13,4,	13,6,	12,3,	14,2,	15,1,	19,1,	12,2,	11,7,	16,2,	9,8,	12,4,	17,5,	11,3,	15,4,	9,8,	17,2,	14,2,	16,1,	13,2,	13,2,	14,3,
10,3,	11,5,	14,4,	16,3,	11,3,	17,1,	12,6,	13,3,	10,6,	10,5,	14,1,	13,2,	12,2,	7,7,	13,3,	10,2,	15,2,	10,4,	9,4,	12,4,	12,5,	11,7,	13,1,	14,1,	18,4,	11,5,	9,3,	15,3,	8,4,	11,4,	16,4,	10,3,	14,3,	8,4,	16,3,	13,5,	15,2,	12,7,	12,5,	13,1,
