sub0021006,ses2,	sub0021006,ses1,	sub0021002,ses1,	sub0021024,ses2,	sub0021024,ses1,	sub0021002,ses2,	sub3201815,ses2,	sub4288245,ses1,	sub3795193,ses2,	sub3201815,ses1,	sub4288245,ses2,	sub3795193,ses1,	sub0021018,ses1,	sub4176156,ses2,	sub3808535,ses2,	sub0021001,ses1,	sub3313349,ses2,	sub0021018,ses2,	sub4176156,ses1,	sub3808535,ses1,	sub3313349,ses1,	sub0021001,ses2,	sub1961098,ses2,	sub3315657,ses2,	sub1961098,ses1,	sub3315657,ses1,	sub2842950,ses1,	sub2842950,ses2,	sub7055197,ses1,	sub9630905,ses1,	sub7055197,ses2,	sub9630905,ses2,	sub8735778,ses1,	sub1793622,ses2,	sub2799329,ses1,	sub2475376,ses1,	sub8735778,ses2,	sub1793622,ses1,	sub2799329,ses2,	sub2475376,ses2,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
14,1,	14,1,	11,1,	11,1,	11,1,	11,1,	13,1,	12,1,	12,2,	13,1,	12,2,	11,1,	15,1,	12,1,	14,1,	14,1,	12,4,	15,1,	10,1,	14,1,	14,1,	10,2,	13,1,	13,1,	13,2,	13,1,	17,1,	16,1,	14,1,	14,1,	13,1,	13,1,	14,1,	11,1,	14,1,	12,1,	15,1,	11,2,	14,1,	12,2,
12,2,	11,1,	10,1,	10,1,	10,1,	9,2,	12,1,	11,3,	11,2,	9,5,	11,3,	10,1,	11,2,	11,1,	10,1,	12,1,	11,2,	11,2,	9,1,	10,1,	11,1,	8,1,	12,1,	12,1,	11,2,	11,1,	13,1,	12,1,	12,1,	11,1,	12,1,	12,1,	11,1,	10,1,	10,2,	11,2,	12,2,	10,3,	10,1,	11,2,
11,1,	10,2,	9,1,	9,1,	9,2,	8,3,	11,4,	10,5,	10,1,	8,3,	10,2,	9,2,	10,3,	9,3,	8,1,	10,1,	9,2,	10,2,	8,2,	6,2,	10,3,	7,1,	11,1,	11,2,	10,2,	10,1,	12,1,	11,4,	10,1,	10,3,	11,2,	11,4,	10,2,	9,4,	9,2,	10,3,	10,1,	9,1,	9,4,	10,1,
10,3,	9,2,	8,3,	8,2,	8,1,	7,1,	10,1,	9,1,	8,3,	5,2,	9,1,	8,1,	8,1,	8,1,	6,3,	8,6,	8,1,	8,2,	7,1,	5,5,	9,1,	6,3,	10,3,	9,1,	9,4,	9,2,	11,1,	10,1,	9,3,	9,2,	9,2,	10,1,	9,2,	7,2,	8,5,	9,1,	9,2,	8,1,	8,3,	9,2,
9,2,	7,4,	7,2,	7,1,	7,2,	6,1,	9,1,	6,1,	7,3,	4,1,	8,2,	7,3,	7,2,	7,3,	5,4,	6,1,	7,2,	7,1,	5,6,	4,3,	8,2,	5,2,	9,1,	8,2,	6,1,	8,1,	10,2,	9,2,	8,3,	8,1,	8,1,	8,1,	8,1,	6,1,	7,1,	7,1,	8,1,	7,3,	7,1,	8,1,
8,1,	6,2,	5,4,	6,4,	6,2,	5,4,	8,2,	4,1,	6,2,	3,3,	7,1,	6,2,	6,1,	5,2,	4,6,	5,3,	6,1,	6,3,	4,4,	3,10,	7,1,	4,3,	8,2,	7,1,	5,2,	7,2,	8,2,	6,1,	7,1,	7,2,	7,2,	7,2,	6,3,	5,2,	3,7,	6,2,	7,3,	5,1,	6,1,	7,1,
7,2,	4,2,	4,2,	5,2,	5,1,	4,4,	6,1,	3,1,	5,1,	2,10,	5,1,	5,1,	5,2,	4,3,	3,8,	4,6,	3,3,	5,1,	3,4,	2,6,	6,3,	3,13,	7,1,	6,2,	3,2,	6,1,	7,2,	5,1,	6,2,	6,1,	6,1,	6,1,	5,2,	4,1,	2,4,	5,2,	6,2,	4,1,	4,1,	6,2,
5,2,	3,2,	3,6,	3,4,	4,2,	3,4,	4,1,	2,5,	3,2,	1,11,	4,1,	4,3,	4,1,	3,3,	2,8,	3,6,	2,6,	3,6,	2,7,	1,13,	4,2,	2,8,	6,2,	5,1,	2,4,	5,2,	5,2,	4,2,	4,2,	5,1,	5,2,	5,2,	4,3,	3,2,	1,12,	4,2,	4,1,	3,3,	3,6,	5,2,
4,1,	2,6,	2,5,	2,9,	3,3,	2,6,	3,3,	1,9,	2,3,	0,0,	3,1,	3,5,	3,7,	2,4,	1,14,	2,6,	1,9,	2,6,	1,10,	0,0,	3,4,	1,8,	5,1,	4,2,	1,8,	4,2,	4,3,	3,9,	3,2,	4,2,	4,2,	3,2,	3,5,	2,9,	0,0,	3,5,	3,3,	2,4,	2,3,	4,1,
3,1,	1,9,	1,12,	1,5,	2,9,	1,10,	2,6,	0,0,	1,10,	0,0,	2,5,	2,4,	2,8,	1,14,	0,0,	1,11,	0,0,	1,11,	0,0,	0,0,	2,5,	0,0,	3,3,	3,1,	0,0,	3,4,	3,7,	2,9,	2,9,	3,1,	3,3,	2,6,	2,7,	1,11,	0,0,	2,4,	2,7,	1,12,	1,11,	3,1,
2,4,	0,0,	0,0,	0,0,	1,7,	0,0,	1,11,	0,0,	0,0,	0,0,	1,9,	1,12,	1,10,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,11,	0,0,	2,2,	2,7,	0,0,	2,5,	2,9,	1,8,	1,8,	2,4,	2,4,	1,11,	1,8,	0,0,	0,0,	1,11,	1,7,	0,0,	0,0,	2,8,
1,6,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,12,	1,7,	0,0,	1,14,	1,8,	0,0,	0,0,	1,11,	1,10,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	1,10,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,
0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,	0,0,		0,0,	0,0,	0,0,	0,0,	0,0,
