sub8735778,ses1,	sub1793622,ses2,	sub2799329,ses1,	sub2475376,ses1,	sub8735778,ses2,	sub1793622,ses1,	sub2799329,ses2,	sub2475376,ses2,	sub7055197,ses1,	sub9630905,ses1,	sub7055197,ses2,	sub9630905,ses2,	sub2842950,ses1,	sub2842950,ses2,	sub1961098,ses2,	sub3315657,ses2,	sub1961098,ses1,	sub3315657,ses1,	sub4176156,ses2,	sub0021018,ses1,	sub3808535,ses2,	sub0021001,ses1,	sub3313349,ses2,	sub4176156,ses1,	sub0021018,ses2,	sub3808535,ses1,	sub3313349,ses1,	sub0021001,ses2,	sub3201815,ses2,	sub4288245,ses1,	sub3795193,ses2,	sub3201815,ses1,	sub4288245,ses2,	sub3795193,ses1,	sub0021002,ses1,	sub0021024,ses2,	sub0021024,ses1,	sub0021002,ses2,	sub0021006,ses2,	sub0021006,ses1,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
12,1,	10,1,	12,1,	12,1,	10,1,	10,1,	11,1,	12,1,	9,2,	10,1,	11,1,	10,2,	13,1,	14,1,	12,1,	10,1,	10,2,	10,1,	11,1,	13,1,	13,1,	11,1,	11,1,	9,1,	12,1,	12,1,	12,1,	9,2,	10,2,	10,1,	11,1,	11,1,	11,1,	9,1,	8,3,	9,2,	8,2,	9,1,	13,1,	9,1,
8,2,	9,1,	9,1,	10,2,	9,1,	9,2,	8,3,	10,1,	8,3,	9,3,	9,1,	9,3,	11,1,	10,2,	9,2,	9,1,	9,1,	9,1,	7,3,	10,1,	8,1,	10,1,	9,3,	7,2,	10,1,	8,1,	9,1,	5,2,	9,2,	9,2,	10,2,	8,3,	9,3,	8,1,	7,1,	7,2,	7,2,	8,2,	9,1,	8,3,
7,3,	8,1,	8,2,	9,1,	8,2,	8,1,	7,1,	9,2,	7,2,	8,2,	8,1,	8,2,	10,2,	9,2,	8,2,	8,2,	8,3,	8,2,	5,5,	9,2,	7,1,	8,1,	8,1,	6,1,	9,1,	6,1,	8,3,	4,4,	8,4,	8,2,	8,2,	7,3,	8,2,	7,1,	6,2,	6,2,	6,2,	7,1,	8,4,	7,2,
6,1,	7,2,	7,2,	8,1,	6,4,	7,3,	6,2,	8,1,	5,5,	6,1,	7,2,	7,2,	9,1,	8,1,	7,2,	6,3,	7,2,	6,3,	4,3,	8,1,	5,2,	7,3,	7,2,	5,1,	8,2,	5,2,	7,2,	3,10,	7,1,	7,4,	7,1,	6,1,	7,3,	6,3,	5,2,	5,1,	5,1,	6,2,	7,2,	5,3,
4,3,	6,2,	6,2,	7,2,	5,1,	6,1,	5,2,	7,2,	3,1,	5,2,	6,2,	6,1,	8,2,	7,2,	6,2,	5,3,	6,2,	5,2,	3,2,	7,1,	4,5,	6,1,	6,2,	4,4,	7,1,	4,4,	6,1,	2,6,	4,1,	5,1,	5,2,	5,1,	4,1,	5,2,	4,2,	4,1,	4,1,	5,2,	6,1,	4,4,
3,4,	5,1,	5,2,	6,1,	4,2,	5,1,	4,1,	6,1,	2,3,	4,1,	5,2,	3,2,	6,1,	5,1,	5,2,	3,2,	4,2,	4,1,	2,3,	6,2,	3,8,	5,2,	4,2,	3,3,	6,1,	3,6,	5,2,	1,6,	2,4,	3,2,	4,3,	3,2,	3,2,	4,1,	3,1,	3,2,	3,3,	4,1,	5,2,	2,3,
2,5,	4,3,	4,1,	4,1,	3,2,	4,1,	3,3,	5,1,	1,8,	3,2,	4,1,	2,1,	5,2,	3,2,	3,1,	2,3,	2,1,	3,2,	1,7,	5,1,	2,3,	4,1,	3,1,	2,5,	5,1,	2,4,	4,1,	0,0,	1,9,	2,1,	3,2,	2,6,	2,2,	3,3,	2,6,	2,8,	2,5,	3,4,	3,3,	1,8,
1,9,	2,3,	3,2,	3,2,	2,5,	3,2,	2,1,	3,3,	0,0,	2,1,	3,4,	1,7,	3,1,	2,11,	2,2,	1,6,	1,7,	2,5,	0,0,	3,3,	1,12,	3,6,	2,2,	1,13,	4,2,	1,8,	3,1,	0,0,	0,0,	1,7,	2,1,	1,7,	1,5,	2,6,	1,14,	1,7,	1,10,	2,5,	2,1,	0,0,
0,0,	1,8,	2,2,	2,6,	1,8,	2,1,	1,11,	2,5,	0,0,	1,9,	2,3,	0,0,	2,9,	1,7,	1,5,	0,0,	0,0,	1,7,	0,0,	2,6,	0,0,	2,11,	1,11,	0,0,	3,1,	0,0,	2,3,	0,0,	0,0,	0,0,	1,10,	0,0,	0,0,	1,11,	0,0,	0,0,	0,0,	1,12,	1,5,	0,0,
