table_stats,table_thresholds,p_session,p_condition
density,1,0.914287054135783,0.396172157066317
avg_clst,1,0.89971270015752,0.33832956706625
avg_deg,1,0.961762130017096,0.371492617473219
r2,1,0.887643341467028,0.296413124341915
diameter,1,0.579355555366788,0.527633911516134
num_clq,1,0.982648467284177,0.764687741597984
max_clq_size,1,0.735747063170954,0.586302208429043
max_load_cent,1,0.784352151508254,0.815769329895454
strConnectedComps,1,0.59188625090235,0.127962591945549
density,10,0.623300863197117,0.0113564155919062
avg_clst,10,0.286012485098242,0.00432800910237342
avg_deg,10,0.483467691507154,0.00144506074933384
r2,10,0.763838663997962,0.0050504580251076
diameter,10,0.39977737215183,0.909176272687107
num_clq,10,0.440253067756937,0.564773916552906
max_clq_size,10,0.375435077468565,0.30200682217777
max_load_cent,10,0.241414173981312,0.309666523745363
strConnectedComps,10,0.492805596231663,0.120214123459373
density,20,0.634057189447806,0.507808616632103
avg_clst,20,0.885415962930698,0.302299581236607
avg_deg,20,0.638788055268318,0.389656941597807
r2,20,0.624947537654682,0.880943893504084
diameter,20,0.447324029603342,0.999875284571699
num_clq,20,0.481670285782499,0.912309530681992
max_clq_size,20,0.555943624779346,0.228745593133448
max_load_cent,20,0.444952106683669,0.00430883508912264
strConnectedComps,20,0.939754429237528,0.319743429449648
density,30,1,0.308082470433105
avg_clst,30,0.927338289082248,0.432123018907825
avg_deg,30,0.83612352259603,0.342991144887281
r2,30,0.818641495085924,0.509448561247897
diameter,30,0.999999990066356,0.496862964218288
num_clq,30,0.455421936562958,0.665495519892547
max_clq_size,30,0.667199282457378,0.61971893001445
max_load_cent,30,1,1
strConnectedComps,30,0.999999965232247,0.0459168840514441
density,40,0.999999969795706,0.0148951003307989
avg_clst,40,0.999999985437391,0.293478352336021
avg_deg,40,0.606595380560381,0.011310265128066
r2,40,0.47066846956943,0.575263272254426
diameter,40,0.645767788139311,0.0508205029657445
num_clq,40,0.698441276925922,0.240681560847003
max_clq_size,40,0.686441451909768,0.38849514030003
max_load_cent,40,0.345804384120793,0.0347644810985084
strConnectedComps,40,0.315952957070861,0.500919974515235
density,50,0.544154713235884,0.119941317785103
avg_clst,50,0.828819392783289,0.309137216784156
avg_deg,50,0.210336025122693,0.124323527692722
r2,50,0.961263428109243,0.0168732667478012
diameter,50,0.0883167773771774,0.00902941138319235
num_clq,50,0.754874156228742,0.111054398058075
max_clq_size,50,0.729504310448289,0.658990863254228
max_load_cent,50,1,0.67721219344925
strConnectedComps,50,0.999999993929287,0.67721219344925
density,60,0.330987864000395,0.572514563941532
avg_clst,60,0.0360453248839683,1
avg_deg,60,0.849862633718965,0.108904994758829
r2,60,0.685805911031685,0.815146588369648
diameter,60,0.545922132703072,0.486074182008744
num_clq,60,0.412791859400653,0.0392713278507247
max_clq_size,60,0.959627119944716,0.661624936763922
max_load_cent,60,0.346230077327617,0.14863303399547
strConnectedComps,60,0.86027397248832,0.612058971772906
density,70,0.953468411422007,0.366440564213787
avg_clst,70,0.38653258971788,3.14532715062398e-06
avg_deg,70,NaN,NaN
r2,70,0.072261013856482,0.290343844000227
diameter,70,0.654315427113692,0.605334048215553
num_clq,70,0.837559493990834,0.409966997335948
max_clq_size,70,0.146291366812621,0.39583243479788
max_load_cent,70,0.818201651340131,0.0539502054852849
strConnectedComps,70,0.401485337159183,0.466807562604766
density,80,0.731456408251759,0.0629347881917624
avg_clst,80,0.637311087906734,0.015664024396089
avg_deg,80,0.687163254661337,0.015093638289376
r2,80,0.404867653965459,0.00835322615514438
diameter,80,0.574987068205103,0.00466121478281243
num_clq,80,0.840520767445247,0.00362726981538078
max_clq_size,80,0.959790519993736,0.238407598941879
max_load_cent,80,0.955676878053392,0.630961697579515
strConnectedComps,80,0.949674549452826,0.74316784688435
density,90,0.88537061835383,1
avg_clst,90,0.924785651780336,0.785333913702321
avg_deg,90,0.647688750092454,0.430320496524052
r2,90,0.422170920435797,0.120827548795956
diameter,90,0.347048011071327,0.0523249101579903
num_clq,90,0.648443881676462,0.00269894846436304
max_clq_size,90,1,0.0843740033835426
max_load_cent,90,0.659581578373146,0.114474385320091
strConnectedComps,90,0.43775452459617,0.420187455639115
density,92.5,0.793057180317178,0.450843137202817
avg_clst,92.5,0.701416204688702,0.0810637114742016
avg_deg,92.5,0.985171695722473,0.275494507096986
r2,92.5,0.566735194392242,0.148388222781856
diameter,92.5,0.974374523346098,0.100071790239659
num_clq,92.5,0.726747032323024,0.0944440206402522
max_clq_size,92.5,0.779811278559106,0.709476156063482
max_load_cent,92.5,0.698092585638265,0.714435485925271
strConnectedComps,92.5,0.199437625489234,0.368156813348094
density,95,0.53670445402354,0.00524952506475845
avg_clst,95,0.494299178268123,0.352852172401898
avg_deg,95,0.953027469583152,0.193669511185339
r2,95,0.550292055102012,0.0249001197662848
diameter,95,0.336864734868113,0.0338300239373804
num_clq,95,NaN,NaN
max_clq_size,95,NaN,NaN
max_load_cent,95,NaN,NaN
strConnectedComps,95,NaN,NaN
density,97.5,0.308591998111798,0.083074665514429
avg_clst,97.5,NaN,NaN
avg_deg,97.5,NaN,NaN
r2,97.5,NaN,NaN
diameter,97.5,0.796856397958734,0.0609133373030352
num_clq,97.5,0.999999983282029,0.314503157887715
max_clq_size,97.5,0.626333874101914,0.925196511821588
max_load_cent,97.5,0.729378106964695,0.841578041883048
strConnectedComps,97.5,0.18514565451812,0.00200205920345606
