table_stats,p_session,p_condition
density,0.784157059458868,0.653761364487955
avg_clst,0.356360683830833,0.160282949814922
avg_deg,0.774058072193477,0.464678583856645
r2,0.914106596013091,0.298847516747438
density,0.753641197980062,0.027760220885608
avg_clst,0.284395987791046,0.50718919698189
avg_deg,0.641545405591377,0.0246812863869477
r2,0.797147462855131,0.695986927264049
density,0.584720180279993,0.0205805057433147
avg_clst,0.46054511975505,0.27352978146741
avg_deg,0.593147491356148,0.0116391601768759
r2,0.535706618201478,0.391911753677275
