session_id,session_number,threshold,density, avg_clst,                   avg_deg, topo r2, diameter, num_clq, max_clq_size, max_load_cent,                   str connected comps, degdist r2 
7055197,1,1,0.3983,0.7067,27,0.3764,3,70,22,0.05351833769213603,1,-2.280069120694758
9630905,2,1,0.4029,0.7705,27,0.6642,3,70,21,0.08978141507956727,1,-1.7068080862374466
3315657,2,1,0.3503,0.7269,24,0.6888,4,70,19,0.10569439199345511,1,-1.4047357887485319
3201815,1,1,0.3723,0.7636,25,0.8093,3,70,19,0.06266410024960578,1,-0.786228339669065
2475376,1,1,0.3954,0.7353,27,0.4484,3,70,22,0.057087021696217884,1,-1.7633583871599448
7055197,2,1,0.3789,0.7152,26,0.4076,3,70,23,0.06970375649295023,1,-2.3347187601880375
0021002,1,1,0.3723,0.7454,25,0.5038,4,70,22,0.05822361103713988,1,-1.3494743100007316
3795193,2,1,0.3851,0.7390,26,0.3569,3,70,23,0.07796283406355704,1,-1.770319163176798
3795193,1,1,0.3619,0.7142,24,0.5688,4,70,19,0.07549079547610794,1,-1.020600592543829
0021006,1,1,0.3805,0.7458,26,0.4759,4,70,23,0.11568523509053824,1,-1.784863353426657
0021018,1,1,0.4282,0.7615,29,0.6477,4,70,22,0.04526955584886893,1,-0.45154641946999496
2799329,2,1,0.3689,0.7504,25,0.5417,4,70,20,0.07328095951614168,1,-0.48901108437229235
3315657,1,1,0.3660,0.7174,25,0.4732,3,70,19,0.06549594290087576,1,-2.3710702897747127
3808535,1,1,0.3495,0.7253,24,0.6569,3,70,19,0.11072729389399108,1,-2.065961706835301
1793622,1,1,0.3516,0.7455,24,0.7737,3,70,19,0.05275750585222819,1,-0.9727005106912088
4176156,2,1,0.3619,0.7443,24,0.5931,3,70,21,0.10299878636709149,1,-2.813710356761108
4288245,2,1,0.3843,0.7549,26,0.5729,3,70,21,0.05912392811276849,1,-1.6264163545895154
9630905,1,1,0.3718,0.7599,25,0.7621,4,70,20,0.10408610501659046,1,-0.7978405630894643
0021006,2,1,0.4095,0.7600,28,0.5375,3,70,22,0.0983502768270774,1,-2.1703589350184287
1793622,2,1,0.3449,0.7375,23,0.6266,4,70,17,0.06733196866682674,1,-0.4690695579586779
2475376,2,1,0.3963,0.7371,27,0.5278,4,70,21,0.04573108633455187,1,-0.7653464668881405
0021001,1,1,0.4650,0.7878,32,0.1924,4,70,30,0.05197378081226696,1,-0.40497069949446884
8735778,1,1,0.4050,0.7359,27,0.5578,3,70,24,0.07788331770302162,1,-1.6527522649644735
0021002,2,1,0.3747,0.7566,25,0.7579,4,70,22,0.05049928413113625,1,-2.1339235357361725
0021024,2,1,0.3358,0.7220,23,0.5585,3,70,19,0.09033535481769983,1,-2.3831481617175303
2842950,1,1,0.4696,0.7596,32,0.0269,3,70,33,0.03742634970139391,1,-2.432497880728816
2799329,1,1,0.3834,0.7428,26,0.6009,3,70,19,0.06721820346059143,1,-0.8526956853226042
3808535,2,1,0.4083,0.7478,28,0.5393,3,70,24,0.0844675244632587,1,-2.153561746676511
0021024,1,1,0.3308,0.7016,22,0.4069,4,70,18,0.0799828151008278,1,-1.5683677970052945
4176156,1,1,0.3387,0.7351,23,0.6287,4,70,18,0.11435539321617326,1,-1.2253184050812322
3201815,2,1,0.4021,0.7817,27,0.8381,3,70,22,0.10033555243463418,1,-1.366509891984287
3313349,2,1,0.4017,0.7648,27,0.6956,3,70,22,0.04876234236578887,1,-0.8743688634788045
3313349,1,1,0.3988,0.7453,27,0.6176,3,70,19,0.05182606179238048,1,-4.086015017750118
2842950,2,1,0.4696,0.7862,32,0.4225,3,70,28,0.03724023057242975,1,-1.0640873852568866
8735778,2,1,0.3896,0.7383,26,0.7057,3,70,22,0.07938154939507057,1,-1.575770056071141
1961098,1,1,0.3876,0.7313,26,0.3296,3,70,23,0.06982346668682436,1,-3.1259007596792285
4288245,1,1,0.3752,0.7505,25,0.6803,4,70,19,0.07240021904842196,1,-1.7234288003199616
0021001,2,1,0.3793,0.7324,26,0.6780,4,70,19,0.06742351810929677,1,-0.7751743056805602
0021018,2,1,0.3959,0.7492,27,0.6342,4,70,22,0.06635442385228932,1,-0.9258224256326129
1961098,2,1,0.3863,0.7291,26,0.3949,3,70,22,0.06055762041267833,1,-2.532256442497888
7055197,1,10,0.3615,0.7177,24,0.4672,3,70,21,0.07298426796117582,1,-1.6925938388672845
9630905,2,10,0.3631,0.7664,25,0.6387,3,70,21,0.11028861063267871,1,-0.6429888270967385
3315657,2,10,0.3155,0.7341,21,0.6867,4,70,17,0.12458209973342757,1,-1.2557654039676582
3201815,1,10,0.3441,0.7674,23,0.7777,4,70,18,0.08303405760995425,1,-1.3544149130421408
2475376,1,10,0.3565,0.7392,24,0.5677,4,70,20,0.07861705723929042,1,-1.4278663546394528
7055197,2,10,0.3416,0.7140,23,0.5194,4,70,22,0.09021027924519337,1,-1.094116681001346
0021002,1,10,0.3391,0.7628,23,0.7700,4,70,20,0.0591692313798026,1,-1.218149351242035
3795193,2,10,0.3466,0.7544,23,0.3994,3,70,22,0.08278430581777106,1,-2.494129362587555
3795193,1,10,0.3271,0.6966,22,0.1881,4,70,18,0.09754977283802953,1,-0.19407458453462811
0021006,1,10,0.3429,0.7501,23,0.5525,4,70,22,0.1535366772216458,1,-1.6616643939730404
0021018,1,10,0.3981,0.7517,27,0.5680,4,69,22,0.067193144473826,1,-0.9691850492496445
2799329,2,10,0.3350,0.7665,23,0.8540,4,70,17,0.08861251278061356,1,-0.7495781212630324
3315657,1,10,0.3300,0.7241,22,0.6108,4,70,19,0.07572584045949848,1,-0.5794325355491037
3808535,1,10,0.3151,0.7168,21,0.6762,4,70,17,0.13892364469746524,1,-1.760082962425539
1793622,1,10,0.3168,0.7317,21,0.3651,4,70,17,0.05102358823527867,1,-0.38236868261779455
4176156,2,10,0.3259,0.7394,22,0.2085,4,70,19,0.11405089960490022,1,-0.056029388751903664
4288245,2,10,0.3470,0.7440,23,0.3025,4,70,20,0.07562956397217781,1,-0.3269129809682967
9630905,1,10,0.3461,0.7478,23,0.6947,4,69,18,0.11340646919118559,1,-1.26180003936898
0021006,2,10,0.3689,0.7685,25,0.7023,4,70,21,0.14103015086609932,1,-1.6623960846359105
1793622,2,10,0.3130,0.7053,21,0.2466,4,70,17,0.0875205335342016,1,-0.26205956463946034
2475376,2,10,0.3582,0.7137,24,0.4348,4,70,19,0.051499975623080126,1,-1.2926546053714572
0021001,1,10,0.4309,0.7689,29,0.1810,4,69,28,0.06013849495977341,1,-0.46947461033867
8735778,1,10,0.3656,0.7194,25,0.5643,3,70,22,0.09694750919555603,1,-2.370849530120016
0021002,2,10,0.3379,0.7590,23,0.8316,4,70,19,0.07366492171056763,1,-0.9652182957401725
0021024,2,10,0.3023,0.7361,20,0.6419,4,70,19,0.08797273918103929,1,-0.9005633199857173
2842950,1,10,0.4248,0.7635,29,0.2619,4,70,29,0.04629964662461363,1,-0.7042481820332245
2799329,1,10,0.3559,0.7365,24,0.6077,3,69,17,0.08566934271463746,1,-1.8036322895062007
3808535,2,10,0.3710,0.7299,25,0.5273,3,70,21,0.10302500671479846,1,-2.1317393067000845
0021024,1,10,0.2986,0.7222,20,0.5252,4,70,18,0.11845343861308172,1,-1.083244189764378
4176156,1,10,0.3052,0.7370,21,0.6551,4,70,17,0.11331011858134651,1,-0.7515219132099595
3201815,2,10,0.3627,0.7745,25,0.8313,3,70,19,0.08295748803641166,1,-0.9925748022371446
3313349,2,10,0.3615,0.7453,24,0.2783,4,70,21,0.05861560001333794,1,-0.20822032040612237
3313349,1,10,0.3594,0.7495,24,0.7490,3,70,19,0.06179533713536622,1,-3.917742676825574
2842950,2,10,0.4240,0.7714,29,0.6451,4,70,25,0.061635141458860565,1,-0.7569189117421256
8735778,2,10,0.3511,0.7419,24,0.7947,3,70,22,0.08944941670500602,1,-1.6148436915831845
1961098,1,10,0.3532,0.7396,24,0.4562,3,70,23,0.08627589581264486,1,-1.9889875283228693
4288245,1,10,0.3379,0.7346,23,0.3222,4,70,18,0.11459872644651166,1,-0.2044427188407516
0021001,2,10,0.3441,0.7415,23,0.7932,4,70,18,0.06377582865905006,1,-0.7997036775646067
0021018,2,10,0.3582,0.7581,24,0.3380,4,70,22,0.08787784604626771,1,0.04753234065003398
1961098,2,10,0.3478,0.7386,24,0.5008,4,70,22,0.08921385384844582,1,-1.7159612378246085
7055197,1,20,0.3188,0.7272,22,0.7413,4,70,18,0.10321926067839578,1,-0.696948291688275
9630905,2,20,0.3230,0.7481,22,0.2491,4,70,21,0.14119548427350792,1,-0.18279111452460195
3315657,2,20,0.2803,0.7413,19,0.7863,4,70,16,0.18833967398231455,1,-1.4899372433566582
3201815,1,20,0.3002,0.7346,20,0.3683,4,70,16,0.091778922407884,1,-0.1178864116345899
2475376,1,20,0.3358,0.7279,22,0.4516,4,68,19,0.0974723667980367,1,-1.8452359419589923
